sectionCenters,x,y,z
1329,-19256.42598928166,14068.119675492551,7895.124968828572
1330,-19235.744825246882,14026.047151646922,7880.870418978592
1331,-19230.046953523015,14014.455742015984,7876.943145040332
1332,-19229.202824378735,14012.738496144735,7876.361326679109
1333,-19228.35869523446,14011.021250273485,7875.779508317884
1334,-19222.660823510592,13999.429840642546,7871.852234379625
1335,-19201.979659475815,13957.357316796915,7857.5976845296445
1336,-19181.29849544104,13915.284792951285,7843.343134679665
1337,-19175.60062371717,13903.693383320346,7839.415860741405
1338,-19174.756494572895,13901.976137449095,7838.834042380182
1339,-19173.912365428616,13900.258891577847,7838.252224018957
1340,-19168.21449370475,13888.667481946908,7834.324950080698
1341,-19147.533329669972,13846.594958101277,7820.0704002307175
1342,-19126.852165635195,13804.522434255647,7805.815850380738
1343,-19121.154293911328,13792.931024624708,7801.888576442478
1344,-19120.31016476705,13791.21377875346,7801.306758081255
1345,-19119.466035622772,13789.496532882209,7800.72493972003
1346,-19113.768163898905,13777.90512325127,7796.797665781771
1347,-19093.08699986413,13735.83259940564,7782.54311593179
1348,-19072.405835829355,13693.760075560009,7768.288566081811
1349,-19066.707964105488,13682.16866592907,7764.3612921435515
1350,-19065.86383496121,13680.45142005782,7763.779473782328
1351,-19065.019705816932,13678.734174186571,7763.197655421105
1352,-19059.321834093065,13667.14276455563,7759.270381482845
1353,-19038.323791504394,13625.242886405977,7744.976558065906
1354,-19016.919238720737,13583.56448817244,7730.632352238527
1355,-19011.02206601503,13572.081664169322,7726.680377163637
1356,-19010.14841079937,13570.380505057748,7726.094899374764
1357,-19009.274755583712,13568.679345946175,7725.509421585892
1358,-19003.37758287801,13557.196521943057,7721.557446511002
1359,-18981.97303009435,13515.51812370952,7707.213240683624
1360,-18960.56847731069,13473.839725475984,7692.869034856245
1361,-18954.67130460499,13462.356901472866,7688.917059781355
1362,-18953.79764938933,13460.655742361292,7688.331581992483
1363,-18952.923994173667,13458.954583249719,7687.74610420361
1364,-18947.026821467967,13447.4717592466,7683.79412912872
1365,-18925.62226868431,13405.793361013064,7669.449923301341
1366,-18904.21771590065,13364.114962779528,7655.105717473963
1367,-18898.320543194946,13352.63213877641,7651.153742399072
1368,-18897.446887979288,13350.930979664836,7650.5682646102
1369,-18896.57323276363,13349.229820553262,7649.982786821327
1370,-18890.676060057925,13337.746996550144,7646.030811746437
1371,-18869.271507274265,13296.068598316608,7631.686605919059
1372,-18847.866954490608,13254.390200083071,7617.34240009168
1373,-18841.96978178491,13242.907376079953,7613.390425016791
1374,-18841.096126569246,13241.20621696838,7612.804947227918
1375,-18840.222471353583,13239.505057856806,7612.2194694390455
1376,-18834.325298647884,13228.022233853688,7608.267494364155
1377,-18812.920745864227,13186.343835620151,7593.923288536776
1378,-18791.516193080566,13144.665437386615,7579.579082709398
1379,-18785.619020374863,13133.182613383497,7575.627107634507
1380,-18784.745365159204,13131.481454271923,7575.041629845635
1381,-18783.871709943545,13129.78029516035,7574.456152056762
1382,-18777.974537237842,13118.297471157231,7570.504176981873
1383,-18756.569984454185,13076.619072923693,7556.159971154494
1384,-18735.165431670524,13034.940674690155,7541.8157653271155
1385,-18729.268258964825,13023.457850687038,7537.863790252226
1386,-18728.394603749162,13021.756691575465,7537.278312463353
1387,-18727.5209485335,13020.055532463892,7536.692834674481
1388,-18721.583522956797,13008.595616664368,7532.737739387826
1389,-18698.36974932206,12967.946859263182,7518.253291335701
1390,-18675.15597568732,12927.298101861998,7503.768843283576
1391,-18668.76034417571,12916.09895441473,7499.778230044725
1392,-18667.812843211028,12914.43982145958,7499.187028083414
1393,-18666.865342246347,12912.78068850443,7498.595826122102
1394,-18660.469710734735,12901.581541057163,7494.605212883251
1395,-18637.255937099995,12860.932783655979,7480.120764831126
1396,-18614.04216346526,12820.284026254794,7465.6363167790005
1397,-18607.64653195365,12809.084878807531,7461.645703540149
1398,-18606.699030988966,12807.425745852379,7461.0545015788375
1399,-18605.75153002428,12805.766612897227,7460.463299617526
1400,-18599.355898512673,12794.567465449963,7456.4726863786755
1401,-18576.142124877937,12753.918708048779,7441.98823832655
1402,-18552.928351243198,12713.269950647595,7427.503790274425
1403,-18546.532719731586,12702.070803200328,7423.513177035575
1404,-18545.585218766904,12700.411670245177,7422.921975074263
1405,-18544.637717802223,12698.752537290027,7422.330773112952
1406,-18538.242086290607,12687.55338984276,7418.3401598741
1407,-18515.02831265587,12646.904632441576,7403.855711821975
1408,-18491.81453902113,12606.255875040391,7389.37126376985
1409,-18485.41890750952,12595.056727593128,7385.3806505309985
1410,-18484.471406544835,12593.397594637976,7384.789448569687
1411,-18483.52390558015,12591.738461682824,7384.1982466083755
1412,-18477.128274068542,12580.53931423556,7380.207633369525
1413,-18453.9145004338,12539.890556834376,7365.7231853174
1414,-18430.700726799063,12499.241799433192,7351.238737265275
1415,-18424.305095287455,12488.042651985925,7347.248124026424
1416,-18423.35759432277,12486.383519030775,7346.656922065113
1417,-18422.410093358085,12484.724386075624,7346.065720103802
1418,-18416.014461846476,12473.525238628357,7342.0751068649515
1419,-18392.800688211733,12432.876481227173,7327.590658812826
1420,-18369.586914576998,12392.227723825989,7313.106210760701
1421,-18363.114158594875,12381.074970975813,7309.110123632043
1422,-18362.154077311505,12379.423405772024,7308.518028785791
1423,-18361.19399602813,12377.771840568237,7307.925933939539
1424,-18354.71344736537,12366.623775442671,7303.929293727342
1425,-18331.19145592277,12326.160427949875,7289.422969994181
1426,-18307.66946448017,12285.69708045708,7274.916646261019
1427,-18301.18891581741,12274.549015331513,7270.920006048822
1428,-18300.228834534035,12272.897450127726,7270.32791120257
1429,-18299.268753250664,12271.245884923937,7269.7358163563185
1430,-18292.78820458791,12260.097819798371,7265.739176144121
1431,-18269.266213145303,12219.634472305575,7251.23285241096
1432,-18245.7442217027,12179.17112481278,7236.7265286778
1433,-18239.26367303994,12168.023059687213,7232.729888465602
1434,-18238.303591756565,12166.371494483425,7232.13779361935
1435,-18237.343510473194,12164.719929279638,7231.545698773099
1436,-18230.86296181044,12153.571864154072,7227.5490585609
1437,-18207.340970367834,12113.108516661276,7213.042734827741
1438,-18183.81897892523,12072.645169168478,7198.536411094579
1439,-18177.338430262473,12061.497104042912,7194.539770882382
1440,-18176.378348979102,12059.845538839123,7193.94767603613
1441,-18175.418267695728,12058.193973635336,7193.355581189879
